deutsch_name,name,prozent,area,style,explanation,image,url
Löwenbräu,レーベンブロイ,5.20%,ミュンヘン,ラガー,世界中のビールファンが注目するオクトーバーフェストで有名な、ビールの本場ミュンヘンで「ビール純粋令」を守り続ける老舗ブルワリー。ドイツ語で、レーベンは「獅子」、ブロイは「醸造所」を意味する。独特のまろやかなコクとスッキリした飲みやすさが人気で、ライセンス生産も含め世界50カ国以上で広く愛飲されている。,Löwenbräu.jpg, https://www.amazon.co.jp/LOWENBRAU-%E3%83%AC%E3%83%BC%E3%83%99%E3%83%B3%E3%83%96%E3%83%AD%E3%82%A4-%E3%82%A2%E3%82%B5%E3%83%92-350ml%E7%BC%B6%C3%9724%E6%9C%AC/dp/B0029Z6SKA
Paulaner Oktoberfestbier,パウラーナー　オクトーバーフェストビア,6.00%,ミュンヘン,メルツェン,「パウラーナー」はドイツ政府から正式に醸造許可されている僅か6つの醸造所の一つで、このビールはオクトーバーフェストのために特別に仕込まれたビールである。メルツェンはコクがあり、飲み飽きしない、品格のある味わいのラガー・ビールである。,Paulaner Oktoberfestbier.jpg
Paulaner Salateror,パウラーナー　サルバトール,7.90%,ミュンヘン,ドッペルボック,「サルバトール」は元々バイエルンでキリスト教の断食期間中に栄養を摂るために修道士たちが醸造したビールである。通常のビールよりも麦芽エキスが濃く、ロースト麦芽の甘味が強く芳醇かつ濃厚。ホップは控えめで重厚な麦芽風味が際立つ味わいが特徴。,Paulaner Salator.jpg
Paulaner Hefe Weiss,パウラーナー　ヘフェ・ヴァイスビア,5.50%,ミュンヘン,ヴァイス,ドイツ売上No.1のヴァイスビア。小麦使用比率は50%と贅沢に使用し、良質なビール酵母を使用。白濁したクリーミーな泡立ち、優しい酵母の甘みを感じられ、フルーティでまろやかな喉越しの良いビール。ドイツ最強サッカーチーム「バイエルン・ミュンヘン」のオフィシャルビールにもなっている。,Paulaner Hefe Weiss.jpg
Erdinger Hefe Weiss,エルヂィンガーへーフェヴァイス,5.30%,エルヂィング,ヴァイツェン,ドイツで最も売れている小麦ビール。心地よい酸味に、小麦モルトの香りが加わる。ホップの苦味は柔らかでとてもまろやかな味わい。伝統的な瓶内2次発酵で造られるため、泡立ちな肌理細やかで、とてもクリーミーな口当たりが特徴的。,Erdinger Hefe Weiss.jpg
Erdinger Weissbier Dunkel,エルヂィンガーヴァイスビアドゥンケル,5.60%,エルヂィング,ヴァイス・ドゥンケル,厳選されたホップと麦芽を伝統的なレベルそのままに仕上げたヴァイスビアならではの軽い酸味とほのかなチョコレートの風味が魅力的な酵母入りのスペシャルダークビール。きめ細かいクリーミーな泡立ちが特徴的。,Erdinger Weissbier Dunkel.jpg
Erdinger Pikantus,エルヂィンガーピカントゥス,7.30%,エルヂィング,ドゥンケル・ヴァイつぇん・ボック,「ピカントゥス」とはドイツ語で「スピイシー」という意味で、その名の通りヴァイツェン・ボックらしいアルコールをしっかり感じられるパンチの利いた味わい。しかし一方では、アルコール度数7.3%ながら非常に滑らかな飲み心地。,Erdinger Pikantus.jpg
Früh Radler,フリュー・ラドラー,2.50%,ケルン,ラドラー,フリュー・ケルシュの特徴であるフルーティーで華やかな香りが楽しめ、ホップの心地よい苦味がレモネードの甘さを程よく抑えて爽快感を味わえます。暑い季節にごくごく飲めて、ビールが苦手な方にもおすすめ。,Früh Radler.jpg
Früh Kölsch,フリューケルシュ,4.80%,ケルン,ケルシュ,ケルシュビールはケルン市内にある認められた醸造所でしか造ることができない珍しいドイツビール。地元の軟水（オウ・デ・コロン＝「ケルンの水」）を使うことにより香りと苦味がより豊かになり、透明度の高いビールに仕上がる。淡い黄金色の輝きとクリーミな泡、フルーティーで華やかな香りとホップの心地よい苦味が下の残り余韻まで楽しめる。,Früh Kölsch.jpg
Dom Kölsch,ドム・ケルシュ,4.80%,ケルン,ケルシュ,ケルン市内で約500年前から醸造されてきた「ケルシュビール」は地元の水を使用することと、上面発酵の過程を経ることによって非常に爽快でアロマ風味の豊かな、爽やかで透明度の高いビールに仕上がる。ケルン中央駅に聳え立つ大製造のシルエットがそのままラベルになった、数あるケルシュの中でもトップブランドがこのDOM＝ドム。,Dom Kölsch.jpg
Schöfferhofer Grapefruit,シェッファーホッファー　グレープフルーツ,2.50%,フランクフルト,ラドラー,アルコール度数2.5%、アルコール度数2.5%、ヴァイツェンビールの香りと爽やかな味、グレープフルーツジュースの甘酸っぱい味がミックスした、全く新しい飲み物。キリッと冷やしてお試しあれ！,Schöfferhofer Grapefruit.jpg
Schöfferhofer Hefe Weizen,シェッファーホッファー　へーフェヴァイツェン,5.00%,フランクフルト,へーフェヴァイヂツェン,ヴァイスビールというと一般的に酸味が強く重たい味という印象が持たれますが、ドイツでも近年爽やかで香り豊かな味わいのビールに人気が集まるようになり、登場したのがこちらのヴァイツェン。爽やかな香りと酸味、適度な重み、ややたkぁ目のガス圧に由来するのどを伝わる心地よさが特徴。ヴァイスビールではヘッセン州でトップ、全国でも第4位のシェアを持つビール。,Schöfferhofer Hefe Weizen.jpg
Köstritzer Pale Ale,ケストリッツアー　ペールエール,7.00%,バート・ケストリッツ村,ペールエール,シュヴァルツビアで有名な「ケストリッツァー」の伝統と技術にイギリスビール文化が融合したビール。ホップにはその時の流行のものを使用し、薫は極めて強めの柑橘系。アルコーつも7%とIPA並に高く、スパイス感とパッションフルーツやカラメルの甘やかさが混じり合った、しっかり飲み応えのある味わい。,Köstritzer Pale Ale.jpg
Köstritzer Schwarzbier,ケストリッツアーシュヴァルツ,4.80%,バート・ケストリッツ村,シュヴァルツ,文豪ゲーテが愛飲したと言われる旧東ドイツの歴史ある醸造所で造られる黒ビール。ローストした大麦麦芽、極めて良質なホップを使用ており、クリーミーな泡とビターチョコを思わせるまろやかな苦味が楽しめる都会派のシュバルツ（黒）ビール。,Köstritzer Schwarzbier.jpg
Köstritzer Kellerbier,ケストリッツアーケラービア,5.40%,バート・ケストリッツ村,ケラービア,「ケラー」は地下室や地下倉庫を示す言葉で、冷蔵庫がなかった時代には年間を通じて一定温度に他の垂れていた「けたー」にビールを貯蔵していた。このビールは当時と同時ように無濾過で造られた昔ながらの味わいのビール。,Köstritzer Kellerbier.jpg
Maisels Weiss,マイセルズ　ヴァイス,5.70%,バイロイト,ヴァイツェン,1887年創立で現在3代目のマイセル兄弟が経営するきたババリア地方の地ビール。小麦麦芽と大麦麦芽を50%ずつ使用し、純粋培養酵母で造られる南ドイツ伝統のヴァイス（白）ビールで、ライトでフレッシュなりんごのような飲み口が特徴的な小麦ビール。,Maisels Weiss.jpg
Astra Kiezmische,アストラ　キーツミッシェ,2.50%,ハンブルク,ラドラー,カルト醸造所アストラは、ハンブルク中心部にあるアルスター湖の水を使用。1:1で調合されたレモネードは、一口で北ドイツの素晴らしい景色を連想させる。,Astra Kiezmische.jpg
Astra Urtyp,アストラ　ウアテュープ,4.90%,ハンブルク,ピルスナー,古典的なビールで、強く程よい苦味が特徴的。1909年にハンブルクで創業した。ラベルのハートは人生と愛への熱意を意味し、アンカーは常にユニークで唯一の存在であることを意味している。,Astra Urtyp.jpg
Einbecker Ur-Bock  Pilsner,アインベッカーウアボック　ピルスナー,6.50%,ゾンネンベルク,ドゥンケル,男性的で強く、モルティな味わいが印象的。一方でドゥンケルは最初はマイルドであり、徐々にその丈夫なローストの香りが鼻を通るようになる。独特の大麦モルトとその他の調合は、門外不出のレシピとなっている。,Einbecker Ur-Bock Pilsner.jpg
Einbecker Brauherren Pils,アインベッカーピルスナー,4.90%,ゾンネンブルク,ピルスナー,アインベック醸造所ほどドイツの歴史にしっかり定着している醸造所はほとんどないと言われるほど、長きにわたり愛されているビールである。長い首とユニークな腹をもつボトルも1851年以来のトレードマークとなっている。,Einbecker Brauherren Pils.jpg
Flensburger Pilsener ,フレンスブルガーピルスナー,4.80%,フレンスブルク,ピルスナー,フレンスブルクのピルスナーは古典的な下面発酵のビールである。質の高い大麦に由来する軽いピルスナーモルトで醸造されたビールは、非常に明るいビールの色と独特なモルトが特徴的。,Flensburger Pilsner.jpg
Klüvers Bock,クリューバース　ボック,6.40%,キール,ドッペルボック,下面発酵のビールで、モルトとロースト、スモークの香りが特徴的である。少し苦いホップを使用することで、生産地であるクルーバーズ沿岸のわずかにくらい、琥珀色の外観を連想させる一本。,Klüvers Bock.jpg
Klüvers Dunkel,クリューバース　ドゥンケル,5.00%,キール,ドゥンケル,クルーバーズのコースたるとダークは、ライトローストモルトとキャラメルの香りが特徴的。4種類のモルトを使用することで、強く芳香のあるモルトの味を表現している。その濃い色と独特な香りに加え、クリーミーな泡も魅力的である。,Klüvers Dunkel.jpg
Klüvers Heimat,クリューバース　ハイマート,5.20%,キール,ピルスナー,醸造所独自のレシピによるホルシュタイナーの地ビール。昔は畑仕事の後の一杯として、多くの市民に愛されていた。穏やかな甘さと僅かな苦味が特徴的なビールである。,Klüvers Heimat.jpg
Landgang Amerikanischer Traum,ランドブルク　アメリカミッシャートラウム,6.50%,ハンブルク,インドぺールエール,柑橘類とベリーが強く、苦く、強烈なフルーツの香りを与える。心地よい樹脂のような松の香りが、アメリカへの夢の楽しさを締めくくる。,Landgang Amerikaner Traum .jpg
Landgang Pils,ランドブルク　ピルスナー,4.90%,ハンブルク,ピルスナー,独特な苦味をもつこのピルスナービールは、花の香りとともに北欧の景色を想像させる。ハンブルクから世界中に向けて500年以上ビールが輸出されていることを記念して造られた。,Landgang Pils.jpg
Landgang Weizheit,ランドブルク　ヴァイツ,5.40%,ハンブルク,ヴァイツェン,新進気鋭のクラフトビール醸造所が創りだした、他とは一味違う小麦を使った全く新しいビール。小麦ビールとIPAを調合し、ほんのり苦味のあるコクのある味わいが独特の世界への誘う。,Landgang Weizheit.jpg
Ratscherrn Pilsner,ラーツルンピルスナー,4.90%,ハンブルク,ピルスナー,黄金色の見た目が飲欲を引き立てるビール。ハンザの特徴的なボトルデザインと、フルーティーなホップが印象的である。,Ratscherren Pilsner.jpg
Ratscherrn Lager,ラーツルンラガー,5.40%,ハンブルク,ラガー,150年以上前からハンブルクで醸造されており、伝統的かつ純粋なビールが味わえる。ハンブルクの代表的なラガービールである。,Ratscherrn Lager.jpg
Störtebecker Atlantik-Ale,シュテルテベーカーアトランティックエール,5.10%,ハンブルク,ペールエール,麦わら色と独特なホップの苦味が特徴的な、夏にぴったりのビールである。強いホップと長い醸造寿命は、イングリッシュエールのスタイルを想像させる。,Störterbecker Atlantik-Ale.jpg
Lübzer Pils,リューバーピルスナー,4.90%,リューブ,ピルスナー,1877年以来メクレンブルクにある小さな町で醸造されている、上質な乾燥した味のビールである。自然環境保護にも取り組んでおり、生態系に配慮した井戸からの澄んだ水と最高の原材料が並外れたプレミアム品質を維持している。,Lübzer Pils.jpg
Warsteiner Premium Verum,ヴァルシュタイナープレミアムヴェラム,4.80%,ヴァルシュタイン,ピルスナー,ヴァルシュタインの森の湧き水を使用して造られるピルスナービール。ロゴマークには女王の冠がデザインされている、まさに「女王のビール」。透明感のある黄金色と爽やかな口当たりが特徴的。,Warsteiner Premium Verum.jpg
Warsteiner Herb,ヴァルシュタイナー　ヘルブ,4.80%,ヴァルシュタイン,ハーブ,キラキラと輝く、明るい黄色ときめ細やかな泡のスッキリとしてビール。ドライな味わいと辛口派の方におすすめ。,Warsteiner Herb.jpg
König Ludwig Weissbier Hell,ケーニッヒルードブィッヒ,5.50%,ゲルテンドルフ,ヴァイツェン,1260年ヴィッテルバッハ王室のルードヴィッヒ2世が設立し、現在でもその末裔の醸造所が作っている。パイナップルを想像させる爽やかな味わい。香りはフルーティーで、苦味を抑えコク深く、独特の白い濁りを持つビール。,König Ludwig Weissbier Hell.jpg
König Ludwig Natualtub,ナチュアトルーブ,5.10%,ゲルテンドルフ,ケラービア,ほどよい苦味としっかり感じる麦芽感のある特徴的な自然由来の濁りが特徴的である。ケラービールの中でも、王族ゆかりの城内貯蔵ビール。,König Ludwig Natualtub.jpg
Berliner Kindl Radler,ベルリナーキンドルラドラー,2.00%,ベルリン,ラドラー,煌めくフルーティーで軽く新鮮なレモンの香りがするラドラー。甘味料や防腐剤を含まない、誰でも飲みやすい一杯。,Berliner Kindl Radler.jpg
Berliner Kindl Grapefruit,ベルリナーキンドルグレープフルーツ,2.00%,ベルリン,ラドラー,ピルスナービールとグレープフルーツを4:6の割合で調合したビール。レモンにはないほのかな苦味が特徴的。,Berliner Kindl Grapefruit.jpg
Berliner Bock Dunkel,ベルリナーボックドゥンケル,7.00%,ベルリン,ドゥンケル,強いモルトの香りは、職人たちに伝統的に引き継がれ続けるレシピにある。コーヒーのような色と、穏やかなホップに加え、スパイシーなベルリンのボックビール名物は、どんなビール愛好家も虜にする。,Berliner Bock Dunkel.jpg
